Equipes,Youtube,Github
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/gqUqGaXipe8,https://github.com/Grupo-1-2020-PI-FATEC-ADS
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/EU7sCETnPQo,https://github.com/RoyaltyDev/Projeto_integrador_2020-2
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/bcjg3bMJArc,https://github.com/PI-Grupo-3/prot-tipo/blob/master/README.md
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/WE_gLs0Y4_o,https://github.com/cpusfatec/cpusfatec
"['ADS2020a', 'Equipe 5', '2020-2']",youtu.be/dpJSavXZcFk,https://github.com/ThomasPalma1/FatecPI-01
"['ADS2020a', 'Equipe 6', '2020-2']",youtu.be/_XhEydFBsfw,https://github.com/Lkduarte/EGY-Conteudos-Didaticos
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/KdxXSI6weOo,https://github.com/Leo0256/Projeto_Integrador.git
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/FRqYchG33t0,https://github.com/vinicius-hso/projetoIntegrador_hephaestus_academy
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/aHTgaPLw4vE,https://github.com/HarielThums/ProjetoIntegrador01/tree/main/Sprint1
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/XPhLHLePL0c,https://github.com/arapujo/pi_primeiro_semestre
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/Ow6tL47cNaQ,https://github.com/Syank/PI-JornadaDeMotoristas
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/sILO-WdkEf0,https://github.com/Vitor-y/Projeto-Integrador
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/Sk9jJhavxl0,https://github.com/pdrMottaS/PI-JornadaDeMotoristas
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/ZEGnL8eSj20,https://github.com/DanVargaa/Truck-in
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/w5EdaxzZ8q0,https://github.com/PITime01/Minha-Jornada
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/9lVz6-sNtDo,https://github.com/LeticiaSan/Projeto-Jornada-de-Motorista---Time-2/blob/Sprint-0/README.md
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/KGZch7UwyOo,https://github.com/DevSlim001/PI_2020.2/tree/master
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/0uo2kmVrJkw,https://github.com/nicolastelles/PI-IACIT
"['ADS2020a', 'Equipe 5', '2020-2']",youtu.be/4W4W8F7Jhq8,https://github.com/thaisrabelo/iTruck
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/W3VpfOXkSkU,https://github.com/marciosousa4/GEOFPI---Projeto-Integrador
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/wnybZ7g8vIQ,https://github.com/JDanrley/VisGeo-ETL
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/2hAH_SY2ac4,https://github.com/DaviNeves0/ETL_Visiona/
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/Omb8-oNZpcg,https://github.com/Mateus-Prestes/Projeto-integrador-3-Semestre
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/X55dA-4T-sw,https://github.com/WeDias/ShapeTP
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/Vg5b7eITRV8,https://github.com/BureauTech/Mini-ETL-Shapefile-to-PostGis
"['ADS2020a', 'Equipe 1', '2020-2']",youtu.be/HAoLSYTA5CE,não possue
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/mFeVwI7-ROY,https://github.com/RodrigoMarcelin/safe_share
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/dl5_SeHqhSk,https://github.com/maiconandsilva/LGPD-compliant-website
"['ADS2020a', 'Equipe 6', '2020-2']",youtu.be/HgmyytOLSNw,https://github.com/SEGURANCA-DA-INFORMACAO-LGPD
"['ADS2020a', 'Equipe 2', '2020-2']",youtu.be/cCxbbPKdK0c,https://github.com/LASalvador/pi-chat/ 
"['ADS2020a', 'Equipe 3', '2020-2']",youtu.be/ZXHg6RftML4,https://github.com/ads-fatec-team3/chatbot
"['ADS2020a', 'Equipe 4', '2020-2']",youtu.be/h2LBAIon8zo,https://github.com/PI-Time-4/chat_helpdesk
"['BD2020a', 'Equipe 1', '2020-2']",youtu.be/FB_9eePoLME ,https://github.com/Valdineynascimento/projeto_integrador_coffeend 
"['BD2020a', 'Equipe 2', '2020-2']",youtu.be/8hOsnEOGQ0s ,não possue
"['BD2020a', 'Equipe 3', '2020-2']",youtu.be/Vpwj-0F2vX0 ,não possue
"['BD2020a', 'Equipe 4', '2020-2']",youtu.be/dNXmAPeWxvI ,não possue
"['BD2020a', 'Equipe 6', '2020-2']",youtu.be/yuV15Mc7h8c ,não possue
"['BD2020a', 'Equipe 1', '2020-2']",youtu.be/Dzuy4PAdKIU ,https://github.com/GabrielSG20/Projeto_Integrador_2-Sem2020
"['BD2020a', 'Equipe 2', '2020-2']",youtu.be/-R1y5P253Hw ,https://github.com/MikeBBatista/pi-fatec-java
"['BD2020a', 'Equipe 3', '2020-2']",youtu.be/Ei4-XTGxzyA ,https://github.com/De472/Projeto_Integrador2
"['BD2020a', 'Equipe 4', '2020-2']",youtu.be/wS-S2OwB4JA ,https://github.com/labarro/projeto-integrador-2sem
"['BD2020a', 'Equipe 5', '2020-2']",youtu.be/HNsqdAlmaHc ,https://github.com/assenvitor/ProjetoTecSUS
"['BD2020a', 'Equipe 6', '2020-2']",youtu.be/HD8gxjRXtYY ,https://github.com/rangelandrade/PI-GRUPO-6
"['BD2020a', 'Equipe 7', '2020-2']",youtu.be/JguT5Il0980 ,https://github.com/TobiasLino/tecsus-DDC
"['BD2020a', 'Valcode', '2020-2']",youtu.be/5oxcR_EHQ8g,https://github.com/aerosdan/Valcode
"['BD2020a', 'Score Wizard', '2020-2']",youtu.be/_E3wViW6-uo,não possue
"['BD2020a', 'Tecno Code', '2020-2']",youtu.be/WVAs1zB7izc,não possue
"['BD2020a', 'Comix Zone', '2020-2']",youtu.be/wrAXxeplbxk,https://github.com/pi-fatec-bd/cadastro-mais
"['BD2020a', 'Equipe 1', '2020-2']",youtu.be/aq_OYyZLyZ8,https://github.com/R4UOrg
"['BD2020a', 'Equipe 2', '2020-2']",youtu.be/-wOgG0Of_9Y,https://github.com/mrocha98/antenas-devops
"['BD2020a', 'Equipe 3', '2020-2']",youtu.be/d_aTQAb6vJw,https://github.com/herculespsilva/spring-boot-produtora
"['Log2020a', 'Equipe 1', '2020-2']",youtu.be/S5QIFTZlybs,não possue
"['Log2020a', 'Equipe 1', '2020-2']",youtu.be/2L2GXgTtALI,não possue
"['Log2020a', 'Equipe 2', '2020-2']",youtu.be/YTkgiLsuzZE,não possue
"['Mav2020a', 'Easy Box', '2020-2']",youtu.be/TvSdFB0KUIQ,não possue
"['Mav2020a', 'Gupo1', '2020-2']",youtu.be/4Py_VjJhoGU,não possue
"['Mav2020a', 'TFusion', '2020-2']",youtu.be/kN4bmIFDczM,não possue
"['Mav2020a', 'AutomX', '2020-2']",youtu.be/6ldnrWV1OMQ,não possue
"['Mav2020a', 'NICK', '2020-2']",youtu.be/SjjTnJRdDh4,não possue
"['Mav2020a', 'Roboter Logic', '2020-2']",youtu.be/EhddbLNskdA,não possue
"['Mav2020a', 'PCE', '2020-2']",youtu.be/ELRvyEAkhdY,não possue
"['Mav2020a', 'Biodata', '2020-2']",youtu.be/adAwjQcYykg,não possue
