Equipes,Youtube,Github
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/FMMDOXnBDMc,https://github.com/Xtreme-Equipe
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/FMMDOXnBDMc,https://github.com/Xtreme-Equipe
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/B-WpxeDSc34,https://github.com/UniversalDevs
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/QzSzhbkSiLY,https://github.com/DeskwarePI
"['ADS2020a', 'Equipe 04', '2021-1']",https://youtu.be/fW4Fo8_X5Dk,https://github.com/Iridium-FATEC/PI-IRIDIUM
"['ADS2020a', 'Equipe 05', '2021-1']",https://youtu.be/TijEFB7Ldbs,https://github.com/developers12314/Projeto-API
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/S4qFaIvo1Ks,https://github.com/Time-1-ADS/ProjetoGSW/tree/sprints
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/jk3iHov3_ak,https://github.com/roogercamargo/FatecAPI-02
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/SeTRpWdVYQw,https://github.com/cpusfatec/CRUD
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/ZZWgE2ZSkgI,https://github.com/vinicius-hso/api-fatec-2s-gswatcher
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/kidI6F_7uIE,https://github.com/ferreirarita/APRENDIZAGEM-POR-PROJETOS-INTEGRADOS-2021
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/zzgBVrYfQcA,https://github.com/giovannialves01/API-RGBA
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/hcwPLhTX7m0,https://github.com/kevingabrielmelo/nLearning-Team2
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/3MGkUc6E3_U,https://github.com/LeticiaSan/Plataforma-de-Ensino---Time-1
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/nlDh19gpWkk,https://github.com/DevSlim001/API_NEDUC
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/f5OXyJNBCJU,https://github.com/developersapi/LMSApp
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/nYmjEsTPTGw,https://github.com/gabriel-fabian/learning_management_system
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/uHy2lCZcs0I,https://github.com/DaviNeves0/EasyATA
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/UtsHRG0Iupw,https://github.com/Typext/Entregas-e-documentos
"['ADS2020a', 'Equipe 03', '2021-1']",https://youtu.be/_3pejuXXoG0,https://github.com/marciosousa4/Mitim_Atas_Reuniao
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/KRr74SBZvqQ,https://github.com/BureauTech/ProjectSisatas
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/kuusmNHETvM,https://github.com/BureauTech/ProjectSisatas
"['ADS2020a', 'Equipe 01', '2021-1']",https://youtu.be/VKE_uxSCKcA,https://github.com/EricaSantos2109/API-SPC
"['ADS2020a', 'Equipe 02', '2021-1']",https://youtu.be/1NJJkcfVvaw,https://github.com/2021-FATEC-API-GRUPO-01
"['ADS2020a', 'Equipe 06', '2021-1']",https://youtu.be/-42CSSkr94k,https://github.com/gruporocket
