Equipes,Youtube,Github
"['BD2020a', 'Equipe Phamtom', '2021-1']",https://youtu.be/vMT_ERQ74a0,https://github.com/PhatomFatec/Helena
"['BD2020a', 'Equipe TheLooksDatabase', '2021-1']",https://youtu.be/40meAkkQdNM,https://github.com/TheLooksDatabase/Julius
"['BD2020a', 'Equipe SilverCod3', '2021-1']",https://youtu.be/E_I9MvQs9BE,https://github.com/silvercod3
"['BD2020a', 'Equipe CodeYCode', '2021-1']",https://youtu.be/dIepCivYIbk,https://github.com/criskurim/CodeYCode
"['BD2020a', 'Equipe Tetris', '2021-1']",https://youtu.be/1eohvuqf-XU,https://github.com/equipe-tetris/ConsultCAR
"['BD2020a', 'Equipe Java Pastry', '2021-1']",https://youtu.be/MX--ijR84j4,https://github.com/gustavocastrow/pi-fatec 
"['BD2020a', 'Equipe DevStore', '2021-1']",https://youtu.be/TVGQEZVQC0Y,não possue
"['BD2020a', 'Equipe 04', '2021-1']",https://youtu.be/DKgOlpNNqrY,https://github.com/GabrielSG20/Projeto_Integrador_3BD-1Sem2021
"['BD2020a', 'Equipe Pythaon', '2021-1']",https://youtu.be/yVAXDhanC3g,não possue
"['DSM2020a', 'Equipe 01', '2021-1']",https://youtu.be/Cb4jzDQmYTY,https://github.com/Equipe-01-DSM-2021
"['DSM2020a', 'Equipe 02', '2021-1']",https://youtu.be/ztMYgqeCoSA,https://github.com/fa-API-Group-02/project
"['DSM2020a', 'Equipe 03', '2021-1']",https://youtu.be/VDlqEil7K3o,https://github.com/grupo-3dsm/repo_pi
"['DSM2020a', 'Equipe 04', '2021-1']",https://youtu.be/IkQ075uBsjQ,https://github.com/Group-4-Fatec-SJC/Analise-Eleitorado
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/tbt7_DcxtgY,não possue
"['Log2020a', 'Equipe 02', '2021-1']",https://youtu.be/EI0t4t_4Z4s,não possue
"['Log2020a', 'Equipe 03', '2021-1']",https://youtu.be/yxJXomFR-zY,não possue
"['Log2020a', 'Equipe 04', '2021-1']",https://youtu.be/hvUdh2i0G3w,não possue
"['Log2020a', 'Equipe 05', '2021-1']",https://youtu.be/92YJgDLo5iY,não possue
"['Log2020a', 'Equipe 06', '2021-1']",https://youtu.be/EPy7ehxU2wo,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/WsXZYYHHfpE,não possue
"['Log2020a', 'Equipe 02', '2021-1']",https://youtu.be/6zqob90esPs,não possue
"['Log2020a', 'Equipe 03', '2021-1']",https://youtu.be/Sp_tLYXa7uo,não possue
"['Log2020a', 'Equipe 04', '2021-1']",https://youtu.be/Jv2H3CVQaIU,não possue
"['Log2020a', 'Equipe 05', '2021-1']",https://youtu.be/KlzqrwpgHyY,não possue
"['Log2020a', 'Equipe 06', '2021-1']",https://youtu.be/2KlXV6Xaujs,não possue
"['Log2020a', 'Equipe 07', '2021-1']",https://youtu.be/BRbXyNXssxM,não possue
"['Log2020a', 'Equipe 08', '2021-1']",https://youtu.be/c7rh9f7cprA,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/7UTidB6bVlU,não possue
"['Log2020a', 'Equipe 02', '2021-1']",https://youtu.be/HzGBxQYPD0Y,não possue
"['Log2020a', 'Equipe 03', '2021-1']",https://youtu.be/1M-WNZTQ1D4,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/FI40ZN8tZsw,não possue
"['Log2020a', 'Equipe 02', '2021-1']",https://youtu.be/Mu7-B9FDSmw,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/dbNnU2LRLlY,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/IZkFpfFD8N0,não possue
"['Log2020a', 'Equipe 01', '2021-1']",https://youtu.be/qlotjoBQLr4,não possue
"['Log2020a', 'Equipe 02', '2021-1']",https://youtu.be/5K5moGS-iU0,não possue
"['Log2020a', 'Equipe 03', '2021-1']",https://youtu.be/8nxe9IVTqgM,não possue
"['Log2020a', 'Equipe 04', '2021-1']",https://youtu.be/OGF6C1rgZ-8,não possue
"['Mav2020a', 'Equipe Powertech', '2021-1']",https://youtu.be/GkXGu4fI5g8,não possue
"['Mav2020a', 'Equipe Gripen', '2021-1']",https://youtu.be/EQa0lmMUgxc,não possue
"['Mav2020a', 'Equipe Esquadrao de Elite', '2021-1']",https://youtu.be/6DcCv07LhnQ,não possue
"['Mav2020a', 'Equipe Roboterlogik', '2021-1']",https://youtu.be/mYTIeADEZjs,não possue
"['Mav2020a', 'Equipe ClawSolution', '2021-1']",https://youtu.be/ff49qKVk_Fo,não possue
"['Mav2020a', 'Equipe QualityTransport', '2021-1']",https://youtu.be/2dQqelDg8Jc,não possue
"['Mav2020a', 'Equipe Fatech Automation', '2021-1']",https://youtu.be/tG8nAsuSUIA,não possue
"['Mav2020a', 'Equipe High Level', '2021-1']",https://youtu.be/jRA2CUxMNR0,não possue
"['Mav2020a', 'Equipe Bounce', '2021-1']",https://youtu.be/rOiFMsBvkT4,não possue
"['Mav2020a', 'Equipe Troia', '2021-1']",https://youtu.be/BbGLywmS44o,não possue
"['Mnt2020a', 'Equipe 01', '2021-1']",https://youtu.be/S43pc2Wgz40,não possue
